症状,草药
[306],"[831, 853]"
[94],"[858, 898, 912]"
"[290, 367]",[831]
[367],[831]
[363],"[823, 835, 892, 936, 995, 1049, 1056]"
[202],"[616, 823, 1016, 1049, 1056]"
[227],[857]
[271],"[813, 815, 820, 826, 832, 1030, 1045, 1049, 1056, 1067]"
[357],"[528, 823, 915, 929, 936, 1030, 1045, 1048, 1067]"
[202],"[418, 815, 832, 915, 936, 1028, 1030, 1045, 1049, 1093, 1153]"
"[193, 328]","[448, 601, 602, 857, 1067, 1078, 1153]"
[165],"[652, 653, 875, 913, 926, 1001, 1041, 1060]"
[86],"[598, 815, 820, 826, 867, 875, 936, 942, 961, 1049, 1056]"
[86],"[598, 815, 820, 826, 867, 875, 936, 942, 961, 1049, 1056]"
[94],"[606, 826, 828, 832, 880, 882, 1011, 1049, 1067, 1159]"
[94],"[606, 832, 880, 882, 995, 1011, 1030, 1049, 1067]"
[94],"[606, 826, 828, 832, 880, 882, 1011, 1049, 1067, 1159]"
[94],"[606, 832, 880, 882, 995, 1011, 1030, 1049, 1067]"
[94],"[606, 880, 882, 1011, 1049, 1067]"
"[94, 269]","[598, 824, 826, 828, 832, 839, 857, 880, 882, 898, 912, 995, 1011, 1023, 1030, 1049, 1067]"
[322],"[827, 828, 832, 875, 936, 1023, 1045, 1049]"
[306],"[831, 867, 898]"
[367],"[537, 831, 862, 947]"
[306],"[598, 831, 865, 867, 868, 880, 898]"
"[286, 290, 348]","[827, 828, 832, 884, 894, 1049]"
"[193, 367]",[539]
[299],"[964, 995, 1049, 1056, 1066, 1159, 1165]"
"[193, 367]",[539]
"[241, 276, 286, 322, 357]","[827, 828, 832, 936, 1049, 1056]"
[363],"[832, 898, 1001, 1049]"
"[313, 328]","[820, 828, 837, 894, 936, 1049, 1119, 1159]"
[354],"[426, 598, 858, 994, 1011]"
[80],"[522, 666, 818, 931, 936, 937, 938, 939, 964, 1049]"
[363],[1067]
[375],"[491, 894, 907, 1067]"
"[306, 348]","[831, 832, 834, 894, 898, 907, 936, 1045, 1049, 1056, 1067, 1159]"
[247],"[629, 1066, 1067, 1097]"
[196],"[599, 650, 880, 1049, 1056]"
[363],"[826, 827, 828, 831, 832, 880, 884, 897, 907, 1028, 1030, 1095]"
"[210, 259, 283, 303]","[537, 1049]"
"[363, 367]","[827, 828, 831, 832, 884, 1028, 1049]"
"[241, 295]","[828, 831, 832, 857, 882, 894, 1045, 1049]"
[363],"[463, 616, 815, 818, 823, 824, 828, 831, 834, 868, 880, 886, 894, 936, 1005, 1026, 1028, 1049, 1095]"
[306],[1023]
"[212, 313]","[815, 819, 828, 831, 839]"
[206],"[656, 818, 820, 827, 828, 832, 904, 936, 994, 995, 1030, 1045, 1049, 1056, 1067]"
[206],"[995, 1042, 1049]"
[262],"[1042, 1043]"
"[241, 306]","[815, 1030, 1045, 1049, 1067, 1114]"
"[241, 295, 306]","[469, 826, 828, 831, 832, 839, 857, 880, 882, 884, 897, 907, 936, 1023, 1027, 1028, 1045, 1049, 1132]"
"[222, 363]","[827, 828, 832, 1023, 1049, 1072]"
"[266, 328]","[448, 601, 936, 1078, 1085, 1153]"
"[208, 363]","[629, 832, 842, 857, 867, 1028, 1045, 1056]"
[336],"[427, 817, 928, 964, 1095]"
[314],"[493, 812, 826, 875, 912, 913, 956, 1060, 1061, 1065, 1067]"
[266],[1003]
[210],"[537, 1145, 1167]"
[262],[938]
[252],"[602, 646, 654, 812, 817, 823, 915, 994, 1045, 1056, 1060, 1065, 1067]"
[382],[1056]
[49],"[864, 914, 928, 1049, 1067, 1095]"
[264],"[531, 540, 541, 542, 599, 1164, 1171]"
[348],"[686, 873, 886, 907, 987, 1045, 1095, 1098, 1122, 1138]"
[336],"[427, 783, 873, 897, 1095, 1098, 1119, 1122, 1135, 1138]"
[262],"[852, 865, 1090, 1174]"
[336],"[637, 866, 1020, 1089]"
"[165, 363]","[1120, 1165]"
[352],"[619, 856, 864, 865, 963, 1044, 1151, 1164]"
[314],"[934, 1001, 1045]"
"[276, 367]","[859, 862, 1044]"
"[207, 376]","[602, 875, 894, 915, 936, 994, 1001, 1056]"
"[13, 123, 231, 246, 266, 294, 308, 367, 375, 382]","[489, 491, 601, 819, 823, 827, 832, 880, 882, 888, 897, 904, 906, 907, 909, 912, 913, 915, 936, 1030, 1045, 1049, 1056, 1066, 1113]"
[377],[538]
"[286, 294, 363, 372]","[907, 1030, 1045, 1049, 1066]"
"[345, 369, 376]","[994, 1045, 1049]"
"[80, 314]","[578, 1049]"
[375],"[1023, 1049]"
"[120, 306, 387]",[873]
[188],"[834, 1049]"
"[188, 305]","[834, 837, 1049, 1087, 1132, 1148, 1153]"
[271],"[591, 820, 834, 1049, 1067, 1089]"
"[193, 246, 367]","[834, 835, 1049, 1078, 1090, 1165, 1167]"
[262],"[463, 815, 819, 834, 836, 894, 907, 964, 1049, 1159]"
[274],"[1042, 1056, 1165]"
[338],"[816, 817, 820, 987, 1031, 1049, 1072, 1101, 1165]"
"[274, 389]","[815, 818, 820, 944, 1031, 1032, 1049, 1101, 1119, 1132, 1165, 1167]"
[348],"[623, 1101, 1165]"
"[10, 338]","[528, 570, 816, 817, 836, 994, 1001, 1049, 1056, 1067, 1089, 1101, 1165]"
[348],"[436, 958, 1165]"
[348],"[427, 438, 987, 1049, 1165]"
[174],"[1049, 1165]"
"[306, 348]","[427, 817, 819, 865, 947, 958, 1049, 1090, 1165]"
"[217, 236]",[1165]
"[315, 348]","[907, 1095, 1165]"
"[274, 348]","[987, 1165]"
"[283, 348]","[818, 964, 1049, 1119, 1165]"
[348],"[836, 961, 983, 1032, 1165]"
[348],"[818, 907, 1095, 1165]"
[348],"[907, 964, 1095, 1165]"
"[211, 266, 303, 308, 328, 348, 389]",[1165]
[348],"[1023, 1097, 1165]"
"[274, 348]","[818, 1049, 1093, 1101, 1132, 1165]"
[262],"[521, 867, 880]"
"[266, 348]","[816, 817, 894, 964, 1049, 1093, 1165]"
[389],"[805, 1032, 1171]"
[79],"[521, 933, 1056, 1119, 1132, 1171]"
[266],"[540, 550, 854, 865, 1171]"
[236],"[436, 831, 853, 1171]"
"[316, 361]",[1042]
[348],"[524, 539, 666, 676, 815, 817, 820, 837, 839, 842, 846, 880, 964, 983, 1035, 1085, 1119, 1132, 1153, 1165, 1167, 1171, 1173]"
"[329, 389]","[511, 666, 777, 805, 865, 1044, 1049, 1056]"
"[210, 268, 299, 309, 357, 367]","[666, 815, 906, 937, 1049, 1056, 1066, 1090]"
[259],"[616, 665, 666, 865, 1016, 1049, 1056]"
"[278, 299, 357]","[666, 815, 857, 906, 937, 1049, 1056, 1066, 1090]"
[236],"[438, 499, 531, 541, 805, 817, 819, 865, 936, 947, 987, 1056]"
[28],"[865, 1044, 1164]"
"[81, 110, 217, 259]","[691, 833, 834, 1049, 1100]"
"[138, 198]","[978, 1023]"
"[208, 349]","[540, 862, 1044, 1120, 1163]"
[367],"[444, 676, 853, 1049, 1142]"
[236],"[417, 418, 499, 504, 645, 646, 907, 1030, 1067]"
[200],"[602, 831, 834, 835, 936, 961, 964, 1049, 1056, 1089, 1090, 1148]"
[277],"[540, 805, 806, 853, 865, 970, 1044]"
[215],"[493, 835, 994, 1049, 1056, 1067]"
[80],"[862, 865, 1175]"
[80],"[499, 869]"
[367],"[1043, 1089, 1120]"
"[257, 266, 353]","[762, 813, 908, 1042, 1043]"
[309],"[457, 686, 824, 865, 868, 873, 886, 898, 911]"
[309],"[686, 824, 873]"
[358],"[620, 626, 815, 868, 908, 1030, 1032, 1090]"
[389],"[500, 615, 821, 1049]"
"[195, 231]","[907, 964, 1045, 1067]"
[57],"[777, 815, 834, 1049]"
"[94, 259, 269, 286, 357, 363]","[815, 829]"
[197],"[644, 965, 1119]"
"[308, 348]","[994, 995, 1045, 1049, 1067]"
"[106, 135, 290]","[994, 995, 1049]"
[138],"[987, 1100, 1162]"
"[290, 306, 367]","[429, 519, 817, 819, 832, 834, 894, 907, 938, 947, 983, 1031, 1084, 1089, 1090, 1095]"
[286],"[826, 1011, 1016]"
[344],"[888, 897, 1028, 1045, 1049, 1067, 1095]"
[375],"[619, 1151]"
[23],"[907, 934, 1030, 1045, 1067]"
[276],"[511, 826, 828, 832, 868, 880, 936, 1045, 1049, 1056, 1067]"
[363],"[586, 882]"
"[14, 308, 328]","[857, 936, 1030, 1066]"
[290],"[857, 907, 965, 1030, 1067]"
[253],"[907, 944, 1030, 1067]"
[241],"[586, 857, 1028, 1145]"
[367],"[834, 907, 965, 1067, 1159]"
[314],"[816, 897, 907, 909, 1031, 1067]"
[363],"[880, 907, 1031, 1067]"
"[165, 337, 363]","[832, 897, 907, 911, 965, 1030, 1045, 1049, 1067]"
[344],"[491, 645, 897, 911, 965, 1030, 1067]"
"[165, 286, 306, 363]","[826, 897, 907, 908, 964, 1030, 1049, 1067]"
"[337, 363]","[826, 897, 907, 964, 1030, 1045, 1067]"
[363],"[491, 880, 907, 1067]"
[299],[965]
"[88, 262]","[817, 819, 834, 862, 910, 912, 913, 916, 953, 954, 958, 964, 1091, 1100, 1119, 1161]"
"[254, 354]","[994, 1049, 1056]"
[254],[1159]
[138],[847]
[231],"[662, 903, 907, 964, 965, 1067, 1159]"
[138],"[847, 909, 910]"
"[81, 138]","[784, 824, 826, 873, 880, 882, 886, 897, 898, 907, 987, 995, 1049, 1067, 1089, 1090, 1093, 1095, 1132]"
[138],"[847, 936, 1045, 1049, 1056]"
"[196, 246, 282, 286, 348]","[427, 1044, 1165]"
[369],"[427, 865, 947, 953, 954, 958, 994, 1044]"
[293],"[418, 420, 602, 643, 646, 713, 813, 915, 936, 1039, 1056, 1067]"
[138],"[448, 813, 936, 1067, 1084]"
[328],"[912, 1067, 1165]"
[262],"[853, 965, 1138]"
[314],[1119]
[314],"[827, 828, 915, 936, 994, 995, 1045, 1049, 1060]"
[175],"[864, 865, 912, 913, 965, 1049, 1119, 1181]"
[236],"[898, 1151]"
[299],"[537, 1044, 1049]"
[328],"[499, 601, 813, 936, 1001, 1030, 1045, 1049]"
[266],"[691, 834, 936, 1049, 1056, 1089]"
[210],"[662, 666, 1023]"
[276],"[602, 662, 666, 691, 936, 1023, 1056, 1089]"
[367],"[665, 666, 815, 820, 846, 1031, 1153]"
[299],"[961, 1031, 1158]"
"[219, 376]","[994, 995, 1045, 1049]"
[283],"[666, 815, 894, 1031, 1049, 1056, 1167]"
[389],"[857, 987, 995, 1049, 1056, 1101]"
"[308, 328]","[1030, 1045, 1049, 1056, 1067, 1078]"
[377],[418]
[198],"[817, 819, 894, 915, 1081, 1089, 1093]"
"[198, 236]","[645, 662, 1081, 1153]"
[348],"[777, 907, 936, 947, 1030, 1067, 1081, 1153]"
[197],"[620, 813, 908, 934, 936, 1030, 1039, 1049, 1067]"
[210],"[1049, 1078, 1082]"
"[315, 328]","[1078, 1082, 1085]"
"[39, 259]","[629, 651, 666, 936]"
[348],[986]
[165],"[964, 1030, 1045]"
[367],"[831, 936, 1045]"
[271],[1045]
"[86, 133, 276]","[662, 731, 934, 936, 1023, 1045, 1153, 1159]"
[389],[1045]
[86],"[925, 994, 1045, 1049, 1056, 1067, 1159]"
[348],"[815, 816, 817, 834, 915, 936, 964, 983, 986, 987, 994, 995, 1043, 1045, 1049, 1056, 1060, 1067, 1101]"
[306],"[586, 828, 867, 936, 993, 1045, 1056, 1119]"
[306],"[424, 828, 894, 1023, 1045, 1056]"
[363],"[426, 828, 994, 995, 1023, 1045, 1056, 1067]"
"[276, 290, 367]","[602, 846, 936, 995, 1045, 1049, 1056]"
[236],"[828, 834, 987, 1001, 1023, 1045, 1049, 1056, 1089]"
"[86, 274, 290, 367]","[818, 820, 836, 1031, 1045, 1100, 1165, 1189]"
[135],"[817, 994, 1045, 1049]"
[135],"[587, 602, 819, 936, 994, 1045, 1101]"
"[274, 348, 357]","[880, 894, 994, 995, 1045, 1049, 1119]"
"[236, 274]","[438, 463, 831, 836, 936, 994, 1045, 1049, 1056, 1093, 1165]"
[266],"[828, 1023, 1045, 1049, 1056]"
[254],"[823, 936, 1045, 1049, 1056]"
"[266, 346, 348]","[528, 819, 1045, 1049, 1101, 1165, 1167]"
[236],"[438, 463, 602, 828, 831, 836, 936, 1023, 1045, 1056]"
[86],"[666, 831, 836, 936, 1030, 1045, 1049, 1056, 1067]"
"[208, 266]","[597, 599, 817, 1042, 1045]"
[306],"[828, 831, 867, 880, 936, 1023, 1045, 1056]"
[363],"[815, 834, 1045, 1049, 1067]"
[363],"[880, 1045, 1056, 1067]"
[314],"[994, 1045, 1159]"
[246],"[463, 936, 1023, 1045]"
"[269, 363]","[936, 1045, 1056, 1067, 1159]"
"[338, 367]","[438, 645, 1045, 1056, 1066, 1067]"
[363],"[574, 586, 936, 1045, 1056, 1066, 1067]"
[338],"[828, 1045, 1049]"
[322],"[934, 936, 1045]"
[89],"[831, 936, 995, 1045, 1049, 1056]"
"[236, 274, 306]","[824, 826, 832, 836, 840, 888, 897, 907, 936, 1030, 1045, 1049, 1056, 1067]"
[151],"[475, 836, 840, 880, 888, 897, 907, 936, 1030, 1045, 1049, 1067]"
[214],"[826, 827, 828, 832, 880, 882, 907, 936, 1011, 1030, 1045, 1049, 1056, 1067]"
[293],"[817, 1043, 1045]"
"[193, 208, 217, 274, 306, 322, 349]","[813, 832, 834, 882, 897, 936, 995, 1045, 1049, 1095]"
[14],"[936, 1045, 1159]"
[299],"[813, 815, 836, 936, 1035, 1045, 1049, 1056]"
[208],[1045]
[89],"[598, 832, 898, 1045, 1049]"
"[236, 274]","[438, 463, 831, 836, 936, 994, 1045, 1049, 1056, 1093, 1165]"
[266],"[828, 1023, 1045, 1049, 1056]"
"[208, 376]","[1030, 1042, 1043, 1049, 1072]"
[208],[1042]
[308],"[834, 979, 987, 994, 995, 1045]"
"[88, 325, 348]",[856]
"[293, 294]","[994, 995, 1065, 1066, 1067, 1095]"
"[236, 348]",[1095]
[372],"[602, 817, 828, 832, 936, 987, 995, 1001, 1045, 1049, 1081, 1095]"
[372],"[438, 831, 835, 907, 947, 953, 958, 1023, 1093]"
[244],"[445, 524, 828, 894, 1023, 1119, 1138, 1161, 1168]"
"[222, 303, 349]","[828, 839, 1049, 1078, 1119, 1153, 1159]"
[208],"[597, 814, 817, 936, 1043, 1045, 1049]"
[322],"[853, 858]"
"[14, 266]","[536, 665, 777, 936, 1056]"
[196],"[535, 536, 824, 987, 1045, 1049, 1056, 1065, 1081]"
[293],"[536, 602, 936, 994, 1049, 1056]"
"[290, 367]","[536, 602, 832, 846, 987, 1049, 1056, 1066]"
[266],"[536, 602, 665, 676, 846, 936, 1056, 1189]"
"[290, 367]","[536, 602, 666, 832, 936, 994, 995, 1049, 1056, 1066]"
[231],"[593, 600, 857, 931, 964, 965, 987, 994, 995, 1042, 1043, 1049, 1067, 1095, 1138, 1159]"
[274],"[424, 442, 823, 1049, 1056]"
"[269, 363]","[424, 894, 1001, 1011, 1067]"
"[241, 306]","[424, 587, 598, 880, 894, 897, 1049, 1056]"
[286],"[424, 826, 868, 880, 898, 936, 1023, 1045, 1056]"
[241],"[424, 583, 828, 832, 880, 882, 897, 898, 1049]"
"[135, 306]","[424, 587, 598, 880, 894, 898, 994, 1049, 1056]"
[241],"[813, 831, 868, 880, 898, 936, 994, 1011, 1045, 1049, 1056]"
[338],"[427, 436, 528, 817, 865, 958, 1045, 1101]"
[253],"[427, 854, 865, 958, 1044, 1114, 1120]"
[236],"[599, 666, 936, 1044, 1049, 1056]"
[266],"[666, 936, 1047]"
[86],"[936, 1030, 1056, 1067]"
"[193, 349, 369]","[427, 831, 865, 947, 953, 958, 1044]"
[202],"[528, 666, 820, 836, 1049, 1153, 1165]"
"[274, 282, 348]","[427, 436, 831, 947, 986, 994, 1044, 1101]"
"[306, 367]","[831, 898, 936, 995]"
[367],"[602, 676, 831, 837, 842, 846, 852, 936, 987, 1023, 1089, 1189]"
[348],[831]
[276],"[831, 839, 1056]"
[367],"[831, 862, 927, 1044]"
[286],"[831, 862]"
[348],[994]
[212],"[816, 823, 936, 1001, 1030, 1060, 1067, 1095]"
[367],"[511, 602, 616, 831, 832, 834, 882, 1049, 1056, 1089]"
[367],"[513, 539, 831, 1056, 1089, 1101, 1167]"
[367],"[438, 1049, 1089, 1101]"
"[217, 367]","[1049, 1072, 1089, 1101]"
[367],"[511, 676, 831, 1049, 1066, 1089, 1167]"
"[303, 308]","[683, 815, 817, 820, 834, 937, 1031, 1049, 1100, 1148]"
[303],"[815, 817, 820, 834, 937, 1031, 1049, 1078, 1100, 1148]"
[81],"[817, 827, 831, 832, 907, 934, 936, 947, 1028, 1045, 1049, 1056, 1095]"
"[314, 345]","[815, 831, 882, 884, 894, 1045]"
"[246, 257]","[570, 827, 925, 933, 936, 1189]"
[14],"[933, 934, 935, 936, 1045]"
[76],"[934, 935, 936, 1045, 1066]"
[14],"[934, 936, 1001, 1045]"
"[246, 383]","[934, 935, 1045]"
"[217, 290, 367]","[616, 1049, 1089, 1101]"
[348],"[816, 819, 827, 828, 831, 832, 834, 894, 907, 915, 1030, 1049, 1067, 1095, 1101]"
[246],"[827, 828, 831, 832, 834, 907, 936, 995, 1030, 1049, 1067, 1072, 1095, 1101]"
[348],"[819, 820, 834, 1030, 1049]"
"[274, 367]","[815, 817, 820, 832, 834, 884, 907, 937, 1031, 1049, 1087, 1148]"
"[252, 348]","[817, 820, 834, 836, 1031, 1049]"
"[86, 353]","[815, 819, 828, 829, 831, 832, 834, 907, 936, 964, 1030, 1049, 1067, 1101]"
[147],"[815, 828, 831, 964, 1023, 1030, 1049, 1072, 1097]"
"[352, 363]","[645, 831, 835, 907, 936, 1030, 1045, 1049, 1067, 1167]"
[80],[833]
[62],"[815, 882, 1049, 1067, 1167, 1173]"
[247],"[833, 910, 1049]"
"[258, 325]","[704, 793, 864]"
"[166, 274, 290]","[806, 1067]"
[377],"[538, 857, 864, 865, 962]"
[262],"[432, 623, 683, 852, 1049, 1119, 1132, 1135, 1148, 1149]"
[237],"[831, 833, 834, 894]"
[308],"[666, 833, 936, 1049]"
[193],"[818, 833, 897, 1056, 1165]"
[367],"[831, 833, 1089]"
[367],"[493, 833, 836, 846, 882, 1049, 1067, 1132]"
"[135, 217, 345, 348]","[500, 821]"
"[274, 346, 376]","[821, 831, 835]"
[348],"[821, 1147]"
[244],"[821, 1114]"
[262],"[816, 894, 937, 961, 1089, 1119, 1153]"
[262],"[548, 862, 961, 964, 1031, 1067, 1109, 1148, 1153, 1167]"
[266],"[528, 537, 805, 820, 938, 943, 961, 1049, 1153, 1165]"
[262],"[880, 886, 965, 1110, 1119, 1153]"
[316],[912]
"[306, 367]","[862, 867, 880, 882, 1067, 1108, 1113]"
[348],"[440, 1120]"
[363],"[880, 894, 907, 909, 1031, 1067]"
[208],"[676, 1167]"
[363],[996]
[382],"[602, 646, 936]"
[245],"[1039, 1044]"
"[367, 376]",[1016]
[367],[1056]
[367],"[511, 602, 666, 831, 832, 964, 995, 1049, 1056, 1090, 1120]"
[367],"[429, 602, 964, 1049, 1066, 1078, 1082, 1089, 1189]"
"[217, 367]","[831, 832, 834, 836, 894, 936, 1049, 1089, 1101, 1189]"
[367],"[676, 832, 836, 846, 1001, 1016, 1049, 1089, 1101, 1167, 1189]"
[367],"[666, 783, 833, 834, 839, 840, 964, 1153, 1167]"
"[207, 217, 367]","[623, 665, 777, 827, 936]"
[151],"[832, 907, 964, 965, 1030, 1045, 1049, 1056, 1189]"
[337],"[826, 897, 907, 1060, 1067]"
[375],"[894, 907, 1049, 1066]"
[271],"[440, 493, 806]"
[262],"[449, 862, 954, 1069, 1132]"
"[193, 367]","[665, 834, 996, 1035, 1099]"
[299],"[906, 1016, 1056, 1067, 1127]"
[253],"[436, 865, 928, 953, 1174, 1175]"
"[314, 363]","[907, 908, 910, 936, 1030, 1049, 1056, 1067]"
[328],"[783, 840, 857, 934, 935, 936, 1045, 1049]"
[269],"[820, 907, 936, 983, 1030, 1045, 1056, 1067]"
[246],"[463, 570, 817, 827, 828, 832, 934, 935, 936, 937, 1023, 1045, 1049]"
[246],"[511, 570, 817, 819, 828, 832, 934, 935, 936, 1045, 1049, 1056, 1098]"
"[94, 363]","[827, 828, 832, 857, 867, 880, 934, 935, 936, 1045, 1049]"
[94],"[598, 820, 828, 832, 904, 934, 935, 964, 1030, 1045, 1049]"
"[14, 185, 307, 383]","[826, 925, 1023]"
"[293, 306, 322, 357]","[823, 936, 1016, 1028, 1049, 1105]"
[259],"[629, 1030, 1066, 1078]"
"[274, 313, 346, 348]","[827, 832, 834, 897, 1049, 1101]"
[274],"[460, 499, 827, 832, 894, 897, 934, 935, 937, 938, 1005, 1049, 1101, 1108, 1113]"
"[323, 367]","[463, 831, 836, 880, 936, 994, 1045, 1049, 1056]"
[164],"[602, 666, 831, 834, 836, 880, 894, 936, 1049, 1056]"
[338],"[683, 820, 831, 880, 894, 961, 1049, 1153]"
[306],"[828, 831, 1023, 1045, 1049, 1056]"
"[269, 276]","[586, 828, 831, 839, 1023, 1045, 1056, 1067]"
[348],"[438, 528, 816, 817, 831, 836, 867, 894, 907, 936, 964, 1049, 1165, 1189]"
"[306, 367]","[831, 836, 846, 1056, 1089]"
[322],"[666, 831, 934, 936, 1049]"
[276],"[831, 836, 839, 934, 987, 1089, 1101]"
[334],[831]
[367],"[511, 539, 666, 676, 777, 815, 820, 831, 1049, 1089]"
[306],"[831, 936, 1049]"
[348],"[907, 994]"
"[247, 357]","[815, 831, 936, 987, 1045, 1078]"
"[247, 266, 306, 312]","[666, 815, 817, 831, 936, 964, 987, 995, 1045, 1049]"
"[222, 286]","[831, 839, 936, 995, 1045]"
"[306, 330]","[831, 832, 867, 894, 936, 1027, 1028, 1049]"
"[306, 330]","[827, 828, 831, 832, 867, 894, 897, 936, 1027, 1028, 1049]"
[306],"[831, 840, 936]"
[367],"[831, 858]"
[295],"[827, 831, 907, 1030, 1049, 1067]"
[286],"[427, 436, 831, 853, 936, 938, 1045, 1056]"
[367],"[831, 867, 1135, 1162]"
[286],"[817, 831]"
[204],"[569, 827, 831, 832, 897, 964, 1045, 1049]"
[208],"[629, 662, 713, 815, 897, 907, 936, 1030, 1045, 1056, 1067]"
[363],"[426, 475, 629, 656, 824, 832, 882, 897, 914, 1113]"
[262],"[435, 623, 749, 762, 832, 834, 837, 907, 936, 964, 1030, 1045, 1049, 1056, 1067, 1148, 1153]"
[10],"[817, 994, 1001]"
[211],"[944, 1039]"
"[125, 266]","[641, 915, 934, 936, 965, 1056, 1060, 1082]"
[241],"[832, 841, 894, 1107]"
[330],"[867, 893]"
[367],"[835, 840]"
[286],"[828, 867, 894, 936]"
[208],"[828, 835, 839, 840, 1093]"
[195],"[857, 897, 964, 965, 1030]"
"[165, 266, 357, 383]","[857, 964, 965]"
[305],"[499, 683, 857, 934, 935, 936, 937, 964]"
[367],"[817, 819, 834, 1023, 1049, 1089, 1101]"
"[274, 313]","[834, 1049, 1089, 1100, 1101]"
[193],"[831, 835, 915, 922, 937, 939, 1089, 1189]"
[367],"[511, 676, 834, 1167]"
[367],"[834, 936, 1049, 1089, 1167, 1189]"
[38],"[463, 511, 936, 1023, 1045]"
[328],"[783, 857, 934, 935, 936, 1005, 1045, 1049]"
[14],"[424, 826, 867, 868, 880, 934, 935, 936, 1045]"
[80],"[909, 910, 934, 935, 936, 1045]"
[14],"[857, 933, 934, 935, 936, 1045, 1049, 1132]"
[80],"[894, 915, 934, 935, 936, 937, 1001, 1045, 1049, 1067]"
"[14, 212]",[819]
"[222, 244]","[828, 934, 935, 936, 995, 1001, 1045]"
[308],"[815, 832, 1049, 1165]"
[10],"[420, 813, 934, 936, 994, 1000, 1001]"
[348],"[601, 643, 813, 907, 936, 987]"
"[203, 269]","[460, 815, 839, 840, 857, 897, 1030, 1049, 1120]"
[314],"[827, 947, 953, 978, 994]"
[325],[815]
[349],"[602, 645, 646, 812, 823, 915, 947, 1060]"
[314],"[831, 936, 1045, 1049, 1056, 1072]"
[269],"[826, 936, 1026, 1028, 1045, 1049, 1056]"
[91],"[826, 897, 936, 1045, 1049, 1056]"
[80],"[499, 507, 934, 935, 936, 937, 1045]"
[363],"[934, 935, 936, 937, 964, 1030, 1045, 1049, 1132]"
"[14, 212]","[819, 934, 935, 936, 1045]"
[328],"[598, 880, 994, 995, 1016, 1045, 1049]"
"[219, 290]","[994, 1000, 1030, 1045, 1049, 1056]"
"[160, 257, 363]","[815, 839, 890, 936, 995, 1030, 1072]"
[363],"[586, 598, 602, 653, 858, 997, 1023, 1047]"
[363],"[489, 897, 906, 909]"
"[217, 367]","[834, 907, 1067, 1089, 1167]"
[363],"[826, 907, 1001, 1067]"
[38],"[629, 907, 909, 910, 915, 995, 1001, 1067]"
[290],"[832, 907, 909, 1047, 1067]"
"[282, 338]","[629, 907, 947, 1047, 1056, 1067, 1100]"
"[282, 338]","[586, 813, 826, 934, 936]"
[314],"[602, 813, 934, 936, 1030]"
"[312, 367]","[813, 934, 936, 945, 1078]"
[31],"[934, 1018, 1078, 1167]"
[328],"[645, 713, 813, 934, 936]"
[305],"[813, 934, 936, 1001]"
[363],"[828, 867, 1119]"
[375],"[907, 1067]"
[348],"[907, 964, 1045, 1067]"
[305],"[841, 937, 1031, 1049, 1090, 1100, 1148, 1189]"
[36],"[489, 906, 908, 911, 932, 1049, 1067]"
"[269, 363]","[826, 832, 882, 995, 1045, 1049, 1056]"
[306],"[824, 831, 832, 882, 995, 1045, 1049, 1056]"
[363],"[815, 817, 820, 827, 832, 882, 936, 995, 1030, 1045, 1049, 1056]"
[348],"[826, 827, 828, 829, 832, 839, 882, 995, 1045, 1049]"
"[95, 254]","[616, 668, 817, 831, 832, 852, 862, 876, 893, 974, 987, 1095, 1100, 1145]"
[196],"[456, 662, 907, 1030, 1039, 1049, 1056, 1067]"
[348],"[819, 907, 987, 989, 994, 1067, 1101]"
[276],"[599, 602, 645, 831, 832, 839, 840, 936, 1039, 1049, 1056]"
[306],"[831, 832, 839, 840, 857, 936, 964, 1049, 1078, 1107]"
"[306, 328]","[831, 832, 839, 840, 857, 936, 1049, 1078]"
[265],"[965, 1167]"
[362],"[683, 817, 820, 834, 857, 961, 1049, 1078, 1100, 1132, 1165]"
"[266, 274]","[666, 683, 817, 820, 834, 961, 1049, 1100]"
[193],"[815, 820, 828, 831, 832, 857, 882, 910, 934, 936, 964, 1015, 1028, 1045, 1049, 1067]"
[110],"[440, 569, 785, 894, 903, 945, 967, 1091, 1100, 1161]"
[2],"[463, 477, 828, 832, 836, 880, 888, 897, 907, 936, 1030, 1067]"
[185],"[817, 818, 820, 1049, 1092, 1100]"
[305],"[815, 817, 819, 820, 834, 836, 937, 1031, 1049, 1056, 1100, 1148]"
[344],"[491, 815, 936, 1030, 1045, 1049]"
"[367, 371]","[851, 1023]"
"[244, 383]","[456, 824, 894, 933, 937, 938, 964, 1090]"
[364],"[499, 662, 934, 937, 964, 1049, 1067, 1171]"
"[266, 299, 349, 372]","[911, 915, 942, 964, 1030, 1132]"
"[236, 247, 259, 266, 312, 357, 363]","[922, 934, 937, 964, 1067, 1132, 1171]"
[128],"[813, 936, 1030, 1067, 1078]"
[348],"[1030, 1049, 1078, 1132]"
"[148, 288, 306, 307]","[826, 880]"
"[269, 354, 363]","[880, 1000, 1095, 1148]"
[274],"[429, 616, 832, 834, 836, 880, 894, 907]"
[348],"[818, 831, 832, 834, 836, 880, 894, 907, 1049]"
[217],"[818, 880]"
"[212, 274, 290, 346, 348, 367]","[815, 831, 832, 834, 894, 907, 936, 1049]"
[274],"[616, 666, 832, 907, 1030, 1045, 1049]"
"[290, 313, 348]","[815, 827, 831, 832, 834, 894, 907, 936, 1049]"
[212],"[666, 832, 836, 907, 964, 1045, 1049, 1159]"
